,ForStrat_terrestrial,ForStrat_aquatic,Activity.Nocturnal,Activity.Crepuscular,Activity.Diurnal,female_maturity_d,weaning_d,litters_or_clutches_per_y,longevity_y,adult_svl_cm,development_d,log_litterclutch_size_n,log_birthhatching_weight_g,log_weaning_weight_g,log_male_body_mass_g,log_range_size,X2.1_AgeatEyeOpening_d,X9.1_GestationLen_d,X10.2_SocialGrpSize,X24.1_TeatNumber,X6.2_TrophicLevel,X26.2_GR_MaxLat_dd,X26.3_GR_MinLat_dd,X26.6_GR_MinLong_dd,X28.1_Precip_Mean_mm,X28.2_Temp_Mean_01degC,X30.1_AET_Mean_mm,log_HomeRange_km2,log_HuPopDen_Mean_n.km2,log_NeonateHeadBodyLen_mm,Cingulata,Didelphimorphia,Erinaceomorpha,Perissodactyla,Pholidota,Primates,Rodentia,Soricomorpha,AA_83_Y,AA_30_negative
67,0.0,1.0,1.0,1.0,1.0,0.7258956509872669,0.5071970151926458,0.0026315789473684223,0.6023544984126984,0.7183660888110194,0.9560639046544335,0.009110877031836577,0.9090969778108864,0.9421960782453095,0.9493294935650745,0.9389643581730622,0.0,0.951112349436324,0.171875,0.08,1.0,0.4208868058556969,0.562710262748982,0.6001411967252128,0.5866360086070364,0.6833046515163855,0.4722748364334107,0.6989452247974862,0.20876365873661393,0.9485225495935307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
15,1.0,0.0,1.0,1.0,1.0,0.06748685218815281,0.004791884502741234,0.21052631578947367,0.007936507936507936,0.012745107674493616,0.05583874858943929,0.6793198648867311,0.2434860823577807,0.15676973518742382,0.182634076930889,0.6129976540050548,0.32542105263157894,0.058982382442453594,0.00859375,0.6000000000000001,1.0,0.7781265089328826,0.8730075503355705,0.24636475662353657,0.24235546038543898,0.26372827804107424,0.24888749074274327,0.1817644220354831,0.511329872845252,0.20183206096080442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
45,1.0,0.0,0.0,0.0,1.0,0.20487754952080037,0.0337827857443257,0.21052631578947367,0.24431217460317461,0.09827983485413933,0.045182480696858686,0.6552203318263248,0.4152780716878386,0.3803072430725838,0.4757539702166783,0.3609201257390078,0.32221052631578945,0.04873762270135882,0.4546875,0.58,0.0,0.7298406566875904,1.0,0.5519408502772642,0.307880085653105,0.294565560821485,0.27875320317466556,0.2504431411753984,0.6660884951072175,0.39757533433172965,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
5,1.0,0.0,0.0,0.0,1.0,0.11284549090412858,0.050314787278782955,0.47368421052631576,0.22619047619047616,0.044672652206426966,0.2870873241315671,0.3728097777571803,0.40997416692235544,0.24582749830277384,0.3076914853375082,0.4951030031183903,0.26957894736842103,0.2818809207424236,0.11796875000000001,0.32,0.5,0.3046837276677933,0.44798657718120805,0.41349353049907567,0.3764882226980728,0.9367456556082149,0.4967853561668075,0.29775655621631986,0.5702338325186358,0.3767707045376836,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
9,1.0,0.0,1.0,1.0,1.0,0.519384367487902,0.41330003836143137,0.05789473684210526,0.6825396825396824,0.5974350750009159,0.29197821816301917,0.009110877031836577,0.8437677398008476,0.8502143926745378,0.9493294935650745,0.7290497865161925,0.26921052631578946,0.2705516738822924,0.33671875,0.12000000000000002,0.0,0.4054402060196362,0.24318372483221473,0.5944547134935304,0.210406852248394,0.8307740916271722,0.3767916478244627,0.7660931919832071,0.39679772596052415,0.9243524700921318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
62,1.0,0.0,0.0,0.0,1.0,0.7931749472512939,0.8433716724824571,0.16078459793615973,0.6166005238095238,0.09649292876588225,0.42848497718087974,0.009110877031836577,0.5772775496703417,0.4707958714887671,0.5166966903255445,0.2325932408094381,0.2746315789473684,0.4097030155181234,0.0,0.24000000000000005,0.4,0.5181876710123933,0.7463296979865772,0.8611829944547134,0.47935760171306213,0.7495418641390206,0.5873590111611386,0.5518649079269781,0.6400257199294394,0.49266139579036705,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
41,1.0,0.0,0.0,0.0,1.0,0.3095675970733654,0.36418322220833377,0.17105263157894735,0.5126984126984127,0.10712501999101187,0.34934655600829384,0.009110877031836577,0.5738061855669718,0.4498212979185321,0.5508970863542961,0.5285244259733379,0.2746315789473684,0.33974881049337735,0.3375,0.08,0.0,0.4154192821503299,0.5055578859060402,0.8529574861367837,1.0,0.9265402843601895,1.0,0.6029853850670497,0.5837765887136878,0.48850908112396607,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
70,1.0,0.0,1.0,0.0,0.0,0.03637561277725875,0.007367522422964644,0.4000159694536746,0.12698412698412698,0.07147624353028315,0.0342658580378336,0.7560672754652542,0.4317605554797459,0.30561517038056124,0.46766506494073445,0.45929751423361354,0.2631578947368421,0.03851429551202366,0.0,0.38,0.0,0.7917270239819731,0.8784605704697988,0.5242144177449167,0.1865096359743041,0.4752922590837283,0.21847125826599292,0.3450699712572419,0.6984825360654889,0.4394067214417289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
55,1.0,0.0,1.0,0.0,0.0,0.07737772999676082,0.04503593522907376,0.3287394648763026,0.03239842698411825,0.012392506316736076,0.19272646692280634,0.46999511667898064,0.292853704279247,0.14430210489616663,0.12811621509973023,0.5473169859281224,0.2948947368421052,0.2061023988616229,0.0,0.41999999999999993,1.0,0.5569773056494447,0.6780620805369127,0.8266173752310535,0.5938758029978588,0.739873617693523,0.603428953422072,0.4282707231910231,0.5906992124079884,0.30200570896457335,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
54,1.0,0.0,1.0,0.0,0.0,0.0016677513830133418,0.0022928208968716265,0.42413901777094526,0.047619047619047616,0.008041077397156853,0.00981138788057346,0.8223770515539978,0.23300028018541605,0.06481591279949377,0.08660289119749456,0.9044619001483838,0.39310526315789474,0.015259976852844102,0.0,0.8,1.0,0.4208868058556969,0.562710262748982,0.6001411967252128,0.5872385888970109,0.734477770283959,0.4646327287911701,0.04813447736586485,0.2869587790199545,0.15214005683840814,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
